voteDistribution,rouge1,rouge2,rougeL,bert_f1
0.5555555555555556,0.5489923343808663,0.26831787207568725,0.23827050896233842,0.6481006090794135
0.5714285714285714,0.5230649306676316,0.2519507113767161,0.2255763744385087,0.6329576075077057
0.625,0.5529308903956973,0.2648940888120107,0.24391355875676757,0.6421231746673584
0.6666666666666666,0.5506818128292429,0.26676236150085086,0.2421310068408242,0.6412695212797686
0.7142857142857143,0.6164215686274509,0.2785276073619632,0.2438725490196078,0.639764666557312
0.75,0.5523282986028704,0.274467876730176,0.2582711293950081,0.6504407135339884
0.7777777777777778,0.5463293501415013,0.2725658199507182,0.24669662798381947,0.6494393360614776
0.875,0.5895755464318206,0.28377339250183403,0.2523467443020272,0.6414932250976563
0.8888888888888888,0.5765599256927825,0.29033766401785566,0.2652159931262253,0.6551420489947001
1.0,0.5649606267560628,0.28470165019118926,0.2574566990650712,0.6524058340464608
